pixel_id,latitude_x,longitude_y,amplitude_onda,curvatura_ricci
0,0,0,254.0,0.0
1,0,1,254.0,0.0
2,0,2,254.0,0.0
3,0,3,254.0,0.0
4,0,4,254.0,0.0
5,0,5,254.0,0.0
6,0,6,254.0,0.0
7,0,7,254.0,0.0
8,0,8,254.0,0.0
9,0,9,254.0,0.0
10,0,10,254.0,0.0
11,0,11,254.0,0.0
12,0,12,254.0,0.0
13,0,13,254.0,0.0
14,0,14,254.0,0.0
15,0,15,254.0,0.0
16,0,16,254.0,0.0
17,0,17,254.0,0.0
18,0,18,254.0,0.0
19,0,19,254.0,0.0
20,0,20,254.0,0.0
21,0,21,254.0,0.0
22,0,22,254.0,0.0
23,0,23,254.0,0.0
24,0,24,254.0,0.0
25,0,25,254.0,0.0
26,0,26,254.0,0.0
27,0,27,254.0,0.0
28,0,28,254.0,0.0
29,0,29,254.0,0.0
30,0,30,254.0,0.0
31,0,31,254.0,0.0
32,1,0,254.0,0.0
33,1,1,254.0,0.0
34,1,2,254.0,0.0
35,1,3,254.0,0.0
36,1,4,254.0,0.0
37,1,5,254.0,0.0
38,1,6,254.0,0.0
39,1,7,254.0,0.0
40,1,8,254.0,0.0
41,1,9,254.0,0.0
42,1,10,254.0,0.0
43,1,11,254.0,0.0
44,1,12,254.0,0.0
45,1,13,254.0,0.0
46,1,14,254.0,0.0
47,1,15,254.0,0.0
48,1,16,254.0,0.0
49,1,17,254.0,0.0
50,1,18,254.0,0.0
51,1,19,254.0,0.0
52,1,20,254.0,0.0
53,1,21,254.0,0.0
54,1,22,254.0,0.0
55,1,23,254.0,0.0
56,1,24,254.0,0.0
57,1,25,254.0,0.0
58,1,26,254.0,0.0
59,1,27,254.0,0.0
60,1,28,254.0,0.0
61,1,29,254.0,0.0
62,1,30,254.0,0.0
63,1,31,254.0,0.0
64,2,0,254.0,0.0
65,2,1,254.0,0.0
66,2,2,254.0,0.0
67,2,3,254.0,0.0
68,2,4,254.0,0.0
69,2,5,254.0,0.0
70,2,6,254.0,0.0
71,2,7,254.0,0.0
72,2,8,254.0,0.0
73,2,9,254.0,0.0
74,2,10,254.0,0.0
75,2,11,254.0,0.0
76,2,12,254.0,0.0
77,2,13,254.0,0.0
78,2,14,254.0,0.0
79,2,15,254.0,0.0
80,2,16,254.0,0.0
81,2,17,254.0,0.0
82,2,18,254.0,0.0
83,2,19,254.0,0.0
84,2,20,254.0,0.0
85,2,21,254.0,0.0
86,2,22,254.0,0.0
87,2,23,254.0,0.0
88,2,24,254.0,0.0
89,2,25,254.0,0.0
90,2,26,254.0,0.0
91,2,27,254.0,0.0
92,2,28,254.0,0.0
93,2,29,254.0,0.0
94,2,30,254.0,0.0
95,2,31,254.0,0.0
96,3,0,254.0,0.0
97,3,1,254.0,0.0
98,3,2,254.0,0.0
99,3,3,254.0,0.0
100,3,4,254.0,0.0
101,3,5,254.0,0.0
102,3,6,254.0,0.0
103,3,7,254.0,0.0
104,3,8,254.0,0.0
105,3,9,254.0,0.0
106,3,10,254.0,0.0
107,3,11,254.0,0.0
108,3,12,254.0,0.0
109,3,13,254.0,0.0
110,3,14,254.0,0.0
111,3,15,254.0,0.9453027
112,3,16,254.0,2.2213256
113,3,17,254.0,0.0
114,3,18,254.0,0.0
115,3,19,254.0,0.0
116,3,20,254.0,0.0
117,3,21,254.0,0.0
118,3,22,254.0,0.0
119,3,23,254.0,0.0
120,3,24,254.0,0.0
121,3,25,254.0,0.0
122,3,26,254.0,0.0
123,3,27,254.0,0.0
124,3,28,254.0,0.0
125,3,29,254.0,0.0
126,3,30,254.0,0.0
127,3,31,254.0,0.0
128,4,0,254.0,0.0
129,4,1,254.0,0.0
130,4,2,254.0,0.0
131,4,3,254.0,0.0
132,4,4,254.0,0.0
133,4,5,254.0,0.0
134,4,6,254.0,0.0
135,4,7,254.0,0.0
136,4,8,254.0,0.0
137,4,9,254.0,0.0
138,4,10,254.0,0.0
139,4,11,254.0,0.0
140,4,12,254.0,0.0
141,4,13,254.0,0.0
142,4,14,254.0,0.9453027
143,4,15,37.5,2.2213256
144,4,16,2.0,0.9453027
145,4,17,254.0,2.2213256
146,4,18,254.0,0.0
147,4,19,254.0,0.0
148,4,20,254.0,0.0
149,4,21,254.0,0.0
150,4,22,254.0,0.0
151,4,23,254.0,0.0
152,4,24,254.0,0.0
153,4,25,254.0,0.0
154,4,26,254.0,0.0
155,4,27,254.0,0.0
156,4,28,254.0,0.0
157,4,29,254.0,0.0
158,4,30,254.0,0.0
159,4,31,254.0,0.0
160,5,0,254.0,0.0
161,5,1,254.0,0.0
162,5,2,254.0,0.0
163,5,3,254.0,0.0
164,5,4,254.0,0.0
165,5,5,254.0,0.0
166,5,6,254.0,0.0
167,5,7,254.0,0.0
168,5,8,254.0,0.0
169,5,9,254.0,0.0
170,5,10,254.0,0.0
171,5,11,254.0,0.0
172,5,12,254.0,0.0
173,5,13,254.0,0.0
